,#,Coin,,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days
,53,cUSDC CUSDC CUSDC,,$0.022525422048,0.1%,0.1%,0.1%,$45.56,"$2,468,203,508",
,54,THORChain RUNE RUNE,,$7.41,-3.6%,1.7%,81.3%,"$327,269,292","$2,229,449,431",
,55,Helium HNT HNT,,$21.14,-0.4%,1.0%,-0.1%,"$13,438,488","$2,125,319,190",
,56,ECOMI OMI OMI,,$0.003426432051,0.9%,-0.2%,-21.4%,"$4,009,427","$1,993,875,230",
,57,EOS EOS EOS,,$1.99,-0.2%,0.9%,1.1%,"$205,792,280","$1,963,193,980",
,59,cDAI CDAI CDAI,,$0.021871390197,-0.1%,-0.1%,-0.1%,$54.18,"$1,958,446,667",
,58,IOTA MIOTA MIOTA,,$0.703825,-0.3%,-1.0%,-0.0%,"$24,190,623","$1,956,472,686",
,60,Theta Fuel TFUEL TFUEL,,$0.159853,0.0%,-1.4%,4.7%,"$32,890,974","$1,886,178,774",
,61,Flow FLOW FLOW,,$5.27,-0.5%,-1.6%,-8.1%,"$42,438,480","$1,871,357,109",
,62,Zcash ZEC ZEC,,$136.52,-1.1%,-8.7%,-1.5%,"$305,586,258","$1,669,897,915",
,63,Aave AAVE AAVE,,$122.01,0.2%,2.9%,0.2%,"$98,479,250","$1,664,030,352",
,64,JUNO JUNO JUNO,,$35.86,4.0%,3.4%,-9.3%,"$12,269,165","$1,633,069,235",
,65,Gala GALA GALA,,$0.214780,-1.3%,-2.3%,-2.3%,"$370,050,380","$1,629,834,069",
,66,BitTorrent BTT BTT,,$0.000001754772,-0.7%,-0.3%,-2.9%,"$64,380,618","$1,625,579,445",
,67,Maker MKR MKR,,"$1,786.56",-1.6%,-0.4%,1.8%,"$53,503,410","$1,610,311,570",
,68,Huobi BTC HBTC HBTC,,"$39,184.10",-0.5%,-1.2%,1.6%,"$1,721,719","$1,563,978,089",
,69,PancakeSwap CAKE CAKE,,$5.52,-0.5%,-3.8%,-7.7%,"$86,702,664","$1,526,260,650",
,71,eCash XEC XEC,,$0.000079190133,0.1%,4.4%,14.3%,"$99,344,115","$1,511,448,804",
,70,Arweave AR AR,,$30.07,-0.4%,-2.7%,-7.4%,"$23,470,021","$1,505,705,735",
,72,Quant QNT QNT,,$110.48,-0.6%,-2.6%,-0.6%,"$16,307,685","$1,481,966,137",
,73,Harmony ONE ONE,,$0.124092,-0.2%,-1.4%,-3.8%,"$60,865,096","$1,467,352,600",
,74,TrueUSD TUSD TUSD,,$0.999185,-0.1%,-0.1%,-0.1%,"$91,731,297","$1,445,548,823",
,75,Bitcoin SV BSV BSV,,$75.79,-0.4%,0.4%,-3.6%,"$124,529,752","$1,440,479,109",
,76,Huobi Token HT HT,,$8.90,-0.1%,-1.2%,-3.3%,"$27,183,042","$1,384,137,708",
,77,KuCoin Token KCS KCS,,$18.09,-0.1%,0.1%,0.2%,"$4,873,477","$1,377,567,459",
,78,NEO NEO NEO,,$19.50,0.1%,-0.4%,-4.8%,"$115,760,879","$1,375,247,027",
,79,Humans.ai HEART HEART,,$0.040777283928,0.2%,-10.0%,-58.3%,"$1,568,059","$1,309,127,902",
,80,Celsius Network CEL CEL,,$3.05,-0.1%,0.8%,5.2%,"$2,111,302","$1,290,155,153",
,81,Stacks STX STX,,$1.22,-0.5%,-3.4%,14.8%,"$35,230,169","$1,286,119,906",
,82,Enjin Coin ENJ ENJ,,$1.33,-0.2%,-0.3%,-0.8%,"$105,093,700","$1,237,977,162",
,84,NEXO NEXO NEXO,,$2.10,-0.0%,0.0%,5.7%,"$4,460,655","$1,178,654,473",
,85,Amp AMP AMP,,$0.024538996199,-0.2%,-0.7%,-1.7%,"$8,679,341","$1,177,765,078",
,83,Basic Attention Token BAT BAT,,$0.789434,-1.1%,9.7%,20.0%,"$275,570,094","$1,174,935,788",
,86,Radix XRD XRD,,$0.118019,0.0%,0.9%,-3.2%,"$377,556","$1,156,878,556",
,87,Kusama KSM KSM,,$125.47,0.6%,4.3%,2.7%,"$50,612,910","$1,125,535,352",
,88,Frax Share FXS FXS,,$17.97,-0.3%,0.9%,0.9%,"$9,133,533","$1,038,933,658",
,89,Kadena KDA KDA,,$6.02,-0.8%,-5.4%,-0.4%,"$53,857,059","$1,031,830,919",
,90,Celo CELO CELO,,$2.40,-0.6%,-3.2%,-12.0%,"$33,957,400","$1,030,832,605",
,91,Chiliz CHZ CHZ,,$0.191751,-0.3%,-1.8%,-1.3%,"$111,435,672","$1,026,354,359",
,92,Dash DASH DASH,,$95.26,-0.5%,-3.1%,0.5%,"$162,654,392","$1,011,633,885",
,93,Pax Dollar USDP USDP,,$0.999668,0.1%,0.2%,-0.0%,"$38,465,820","$994,503,261",
,94,BitDAO BIT BIT,,$1.10,-0.4%,1.2%,1.3%,"$33,738,002","$978,710,881",
,95,GateToken GT GT,,$6.30,-0.2%,-0.7%,-3.8%,"$7,148,631","$955,531,579",
,96,Convex Finance CVX CVX,,$17.44,0.6%,6.7%,9.4%,"$32,157,826","$940,152,202",
,97,Xido Finance XIDO XIDO,,$32.19,7.4%,-5.4%,84.2%,"$1,338,360","$910,599,828",
,98,Tokemak TOKE TOKE,,$22.50,-3.5%,-4.9%,-11.5%,"$290,126","$871,783,110",
,100,NEM XEM XEM,,$0.094359574285,-0.0%,-0.3%,-0.4%,"$12,991,067","$849,168,325",
,99,Synthetix Network Token SNX SNX,,$3.94,0.1%,-0.6%,0.8%,"$67,365,571","$844,516,851",
